_________ are the only service distributors which do not require direct human interactions.;Electronic Channels;SSTs;Direct Service Channels;Speculative channels;1
______is the main reason for difficulty in Services Marketing.;Separability;Intangibility;Availability;Demand Supply Gap;2
In Services Marketing, All of the following are examples of services except __________.;Insurance & Banking;Income Tax Filing;Salon;Computer Software;4
In this pricing strategy mostly services are sold at different prices by the same provider in different markets is known as ______.;Price differentiation;Price discrimination;Market Pricing;Marketing Myopia;2
Total customer value consists of all of the following components except _____;Personal Value;Product Value;Service Value;Image Value;1
Standardized and customized flow of activities, simple and complex number of steps and customer involvement by which a service is delivered is called _______.;Place Mix;Physical Evidence Mix;Process Mix;People Mix;3
_____ is the environment in which the service is delivered and where the firm and customer interact and any tangible components that facilitate performance or communication of the service.;Physical evidence;Process;Place;People;1
“All human actors who play a part in service delivery and thus influence the buyer’s perceptions: namely, the firm’s personnel, the customer and other customers in the service environment.”;Process;Physical Environment;People;Place;3
__________ is a tool for simultaneously depicting the service process, the points of customer contact, and the evidence of service from the customer’s point of view.;Front end planning;Service Blueprinting;Service Standardization;Service calling;2
_________ is the physical surroundings or the physical facility where the service is produced, delivered and consumed.;Servicespace;Servicescape;Serviceplace;Servicescope;2
_______ is the culture where an appreciation for good service exists and where giving good service to internal as well as ultimate, external customers is considered a natural way of life and one of the most important norms by everyone.;Service culture;Corporate culture;Service Triangle;Service Quality Dimensions;1
A triangle of Company, Customers, Employees, Internal Marketing, External Marketing communications and Interactive marketing is known as…………..;Marketing Triangle;Service Triangle;Communication Triangle;Marketing Triangle and Service Triangle;2
Tata Sky is the joint venture of Tata and ________.;Sony;Star;IBN;Zee;2
_______is NOT accepted as being part of the extended marketing mix for services.;Promotion;Place;Product;Practice;4
“Every business is a service business” was quoted by______.;Peter Drucker;Kevin Keller;Philip Kotler;Michael Porter;3
Services are characterized by all of the following characteristics except for________;Perishability;Homogeneity;Inseparability;Intangibility;2
________is an example of intangible dominant;Agriculture;Logistics;Teaching;Car Maintenance;3
Services that occur without interruption confusion or hassle to the customer is called ______.;Seamless service;Digital Services;Marketing Myopia;Functional Services;1
The mental energy spent by customers to acquire service is referred to as _____.;Time Cost;Mental Cost;Energy cost;Acquisition Cost;3
The unique service characteristic that reflects the interconnection between the service firm and its customer is called _______.;Intangibility;Inseparability;Perishability;Ubiquity;2
In addition to the traditional four Ps, the services marketing mix includes ________;Process, Physical Evidence & Purpose;People, Process & Physical Evidence;Product, People & Physical Environment;Public, Process and Practice;2
_____ is mainly deals with the inability to inventory services.;Intangibility;Perishability;Inseparability;Tranquility;2
Competitor intelligence should be gathered ______;Yearly;Decadely;Half Yearly;Continuously;4
Total customer value consists of _______;Product Value;Image Value;Service Value;Consumer Perception;4
If a company wishes to test its positioning strategy, advertising, distribution, pricing, branding and packaging, and budget levels, it can do so during which of the following stages of the new-product development process?;Commercialization;Test marketing;Product development;Concept testing;2
The type of trade-promotion discount in which manufacturers agree to reduce the price to;discount;allowance;premium;rebate;2
Which statistical tool is used in market research to determine how different features of a product affect the buying behavior in the consumers mind?;SWOT Analysis;PEST Analysis;BCG Matrix;Conjoint Analysis;4
The main marketing objective for the maturity stage of the PLC is what among the following mentioned options?;Harvest;Differentiation;Deletion;Maintain brand loyalty;4
Which analysis methodology is used to identify the macroeconomic conditions in a marketing environment?;SWOT Analysis;PEST Analysis;BCG Matrix;Conjoint Analysis;2
In which of the following market structures is the degree of control over the price of its product by a firm very high?;Imperfect Competition;Perfect Competition;Oligopoly;Monopoly;4
The most logical budget setting method is found in the list below. Which is it?;Affordable method;Percentage-of-Sales method;Competitive-parity method;Objective-and-task method;4
One common misuse of marketing research findings in contemporary business is the tendency for marketing research to;become a vehicle for pitching the sponsor’s products;become a vehicle for discriminating in the marketplace;become a means for raising prices;become a means for unfair competition;1
The choice between high markups and high volume is part of which of the following retailer marketing decisions?;Target market decisions;Product assortment and services decisions;Pricing decisions;Promotion decisions;3
If a government uses barriers to foreign products such as biases against a foreign company's bids, or product standards that go against a foreign company's product features, thegovernment is using;protectionism;exchange controls;exchange facilitators;non-tariff trade barriers;4
All of the following factors can affect the attractiveness of a market segment EXCEPT;the presence of many strong and aggressive competitors;the likelihood of government monitoring;actual or potential substitute products;the power of buyers in the segment;2
When personal interviewing involves inviting six to ten people to gather for a few hours witha trained interviewer to talk about a product, service, or organization, the method is called:;selective sponsorship;probing;focus group interviewing;the Delphi method;3
A company is in the _____ stage of the new product development process when the company develops the product concept into a physical product in order to assure that the product idea can be turned into a workable product.;product development;commercialization;marketing strategy;business analysis;1
The type of sales force structure in which the sales force sells along product lines is called a;territorial sales force;product sales force;customer sales force;retail sales force;2
____ is screening new-product ideas in order to spot good ideas and drop poor ones as soon as possible.;Idea generation;Concept development and testing;Idea screening;Brainstorming;2
Setting the promotion budget so as to match the budgets of the competition is characteristic of which of the following budget methods?;Affordable method;Percentage-of-Sales method;Competitive-and-parity method;Objective -and-task method;3
Techonological advances, shifts in consumer tastes, and increased competition, all of which reduce demand for a product are typical of which stage in the PLC?;decline stage;introduction stage;growth stage;maturity stage;1
Each salesperson is assigned to an exclusive area in which to sell the company's full line of products or services in which type of sales force structure?;Territorial sales force;Product sales force;Customer sales force;Hybrid sales force;1
Costs that do not vary with production or sales levels are called;fixed costs;variable costs;standard costs;independent costs;1
The key customer markets consist of ____________;Government Markets;Business Markets;Consumer Markets;Customer sales force;4
In marketing company achieve profit through?;Selling;Selling volume;Marketing;Customer satisfaction;4
Marketing segmentation is useful for___________;Prospects Identification;To know the customer’s tastes and preferences;To target current clients;Understanding Business Markets;4
The advantages of audience selectivity, no ad competition and personalization apply to which type of media?;Newspapers;Television;Direct Mail;Radio;3
Marketers are sometimes accused of deceptive practices that lead consumers to believe they will get get more value than they actually do. ____ includes practices such as falsely advertising “factory” or “wholesale” prices or a large price reduction from a phony high retail price.;Deceptive promotion;Deceptive packaging;Deceptive pricing;Deceptive cost structure;3
In 1985, the Coca-Cola Company made a classic marketing blunder with its deletion of its popular Coca-Cola product and introduction of what it called New Coke. Analysts now believe that most of the company's problems resulted from poor marketing research. As the public demanded their “old Coke” back, the company relented and reintroduced Coca-Cola Classic (which has regained and surpassed its former position) while New Coke owns only 0.1 percent of the market. Which of the following marketing research mistakes did coca-Cola make?;They did not investigate pricing correctly and priced the product too high.;They defined not investigate dealer reaction and had inadequate distribution.;They defined their marketing research problem too narrowly;They failed to account for the Pepsi challenge taste test in their marketing efforts;3
If your company were to make a product such as a suit of clothes and sold that product to a retailer, your company would have sold to the _______market.;reseller;business;government;service;1
"_____ has the advantage of being high in selectivity; low cost, immediacy, and interactive capabilities";Direct Mail;Outdoor;Online;Radio;3
If your company were to make light bulbs to be used in photocopies, you would most likely be selling to a ______ market.;reseller;business;government;service;2
If Mark Mars pays Hershey Foods Corporation for the right to use their name on his line of T-shirts, then Mr. Mars is using which type of branding?;Licensed brand;Manufacturer’s brand;Private brand;Co-brand;1
 The shrinking of distances due to technological advance such as computer and fax connections by telephone, are one characteristic of what new challenge to marketing?;Rapid globalization;The changing world economy;The call for more socially responsible marketing;The microchip revolution;1
The practice of going after a large share of a smaller market or subsets of a few markets is called :;undifferentiated marketing;differentiated marketing;concentrated marketing;turbo marketing;3
The goal of the marketing logistics system should be to provide :;a targeted level of promotional support.;a targeted level of customer service at the least cost.;a targeted level of transportation expense ratio.;a targeted level of field support.;2
The process that turns marketing strategies and plans into marketing actions in order to accomplish strategic marketing objectives is called :;Marketing strategy;Marketing control;Marketing analysis;Marketing implementation;4
Today, advertising captures about ___ percent of total promotion spending;15;23;29;33;2
The study of human populations in terms of size, density, location, age, gender, race, occupation, and other statistics is called :;Geothermal;Demography;Ethnography;Hemos-popography;2
If the focus is on social and ethical concerns in marketing’ is characteristic of the _________ period.;Production;Sales;Marketing;Societal marketing;4
When producers, wholesalers, and retailers as a unified system, they comprise a;conventional marketing system;power-based marketing system;horizontal marketing system;vertical marketing system;4
If an advertiser wants flexibility, timeliness, good local market coverage, broad acceptability and high believability, the advertiser will probably choose which of the following mass media types?;Newspapers;Television;Direct Mail;Radio;1
A(n) ____ is a name, term, sign, symbol, or design, or a combination of these that identifies the marker or seller of a product or service.;product feature;sponsorship;brand;logo;3
If advertising constantly sends out messages about materialism, sex, power, and status, which of the following categories of social criticism most closely matches this problem?;Too much advertising;Too few social goods;Cultural pollution;Too much political power;3
Joining with foreign companies to produce or market products and services is called;direct exporting;indirect exporting;licensing;joint venturing;4
When a marketing research organization chooses a segment of the population that represents the population as a whole, they have chosen a _____;group;bi-variant population;sample;market target;3
If a company (considering its options on the product/market expansion grid) chooses to move into different unrelated fields (from what it has ever done before) with new products as a means to stimulate growth, the company would be following which of the following general strategies?;market penetration;market development;product development;diversification;4
If Honda uses its company name to cover such different products as its automobiles, lawn owners, and motorcycles, it is practicing which of the following strategies?;new brand strategy;line extension strategy;multibrand strategy;brand extension strategy;4
All of the following are thought to be sources if new product ideas EXCEPT.;internal sources;customers;competitors;the local library;4
When companies make marketing decisions by considering consumers wants and the long-run interests of the company, consumer, and the general population, they are practicing which  the following principles;Innovative marketing;Consumer-oriented marketing;Value marketing;Societal marketing;4
The course of a product's sales and profits over its lifetime is called;the sales chart;the dynamic growth curve;the adoption cycle;the product life cycle;4
The place in the business buying behavior model where interpersonal and individual influence might interact is called the;environment;response;stimuli;buying center;4
_____ is a person's distinguishing psychological characteristics that lead to relatively consistent and lasting responses to his or her own environment;Psychographics;Personality;Demographics;Lifestyle;2
A ____ is any activity or benefit offered for sale that is essentially intangible and does not result in the ownership of anything;demand;basic staple;product;service;4
The _____ holds that consumers will favor products that are available and highly affordable (therefore, work on improving production and distribution efficiency);product concept;production concept;production cost expansion concept;marketing concept;2
The major advantage of survey research is its :;simplicity;structure;organization;flexibility;4
When Coca-Cola and Nestle formed a joint venture to market a ready-to-drink coffee and tea worldwide, the type of marketing system that was formed would best be described as being a(n):;vertical marketing system;parallel marketing system;diversified marketing system;horizontal marketing system;4
The last stage in the selling process is the _____ stage.;approach;handling objections;closing;follow-up;4
One of the most common problems with using internal database information is that :;since it was probably collected for some other purpose, it may be incomplete or wrong.;it is usually expensive to retrieve.;top executives are usually unwilling to relinquish data, therefore, the data has limits.;the data is almost always unsecured and therefore, suspect as to reliability;1
One of the most promising developments in multivariable segmentation is called _____ where a host of demographic and socioeconomic factors are used;terragraphic segmentation;fermagraphic segmentation;geothermy segmentation;geodemographic segmentation;4
A “three-day cooling off period” in which buyers can cancel a contract after re-thinking it is to protect the consumer from;creative selling;high pressure selling;detail selling;hard core selling;2
Regulations that arise to ensure that firms take responsibility for the social costs of their products or production processes stem from which reason for government legislation of business?;To protect companies from each other;To protect consumers from unfair business practices;To protect the interests of society;To protect businesses from unfair consumer demands;3
Frederick Winslow Taylor is best known for the introduction of which approach to job design?;Behavioural approach;Ergonomics;Scientific management;Division of labour;3
Which one is not the element of market planning?;Policies;Programs;Budgets;People;4
_________ upholds the importance of the customer in the whole value creation process. The D.A.R.T highlights this aspect in a vivid manner.;Contemporary Model;Conventional Model;Contemporary Model and Conventional Model;Deceptive model;1
